,avg_acc,avg_f1,avg_kappa,avg_prec,avg_recall,rank_fn,dir_fn
D2V 50,0.963241202,0.536686468,0.508723373,0.672833773,0.446364929,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_50_D2V_ndcg_2000_10000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_50_D2V_ndcg_2000_10000_0_dir.npy
D2V 100,0.962309176,0.516933481,0.488488448,0.669813809,0.420872313,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_100_D2V_ndcg_2000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_100_D2V_ndcg_2000_5000_0_dir.npy
PCA 100,0.962526113,0.512172074,0.484278593,0.694343415,0.405724267,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_100_PCA_ndcg_2000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_100_PCA_ndcg_2000_5000_0_dir.npy
PCA 50,0.963192994,0.505737447,0.469215702,0.699599613,0.396003198,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_50_PCA_kappa_1000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_50_PCA_kappa_1000_5000_0_dir.npy
D2V 200,0.961835128,0.494363576,0.457886911,0.690096325,0.385129025,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_200_D2V_ndcg_2000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_200_D2V_ndcg_2000_5000_0_dir.npy
MDS 200,0.962068134,0.493081602,0.461702023,0.706744054,0.378618021,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_200_MDS_f1_1000_10000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_200_MDS_f1_1000_10000_0_dir.npy
PCA 200,0.960155873,0.454464671,0.423137341,0.674189573,0.342756887,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_200_PCA_ndcg_1000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_200_PCA_ndcg_1000_5000_0_dir.npy
MDS 100,0.959770207,0.452571238,0.422453444,0.643643495,0.348974525,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_100_MDS_ndcg_2000_10000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_100_MDS_ndcg_2000_10000_0_dir.npy
AWV 200,0.957681183,0.444854438,0.412678761,0.598192517,0.354088838,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_200_AWVEmp_ndcg_2000_10000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_200_AWVEmp_ndcg_2000_10000_0_dir.npy
MDS 50,0.957375864,0.397939588,0.347788324,0.596367616,0.298590317,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_50_MDS_f1_1000_20000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_50_MDS_f1_1000_20000_0_dir.npy
AWV 50,0.953712036,0.39221697,0.354252505,0.510915184,0.318274049,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_50_AWVEmp_ndcg_2000_10000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_50_AWVEmp_ndcg_2000_10000_0_dir.npy
AWV 100,0.955616262,0.387452304,0.355584338,0.563323531,0.295268598,../../data/processed/newsgroups/rank/fil/num_stw_num_stw_100_AWVEmp_f1_2000_5000_0_rank.npy,../../data/processed/newsgroups/directions/fil/num_stw_num_stw_100_AWVEmp_f1_2000_5000_0_dir.npy
