"horror (scares, scary)","glenda (glen, matthau)","karabag (iranian, turkiye)","hike (peak, climbing)","franklin (fund, mthly)"
"hilarious (funniest, hilarity)","scarlett (gable, dalton)","leftover (flaming, vancouver)","stream (waterfall, fountains)","quarterly (shearson, basis)"
"bollywood (hindi, india)","giallo (argento, fulci)","wk (5173552178, 18084tmibmclmsuedu)","arquitectura (edificio, architektur)","feb (28, splits)"
"laughs (funnier, funniest)","bourne (damon, cusack)","1069 (mlud, wibbled)","peaceful (serene, tranquil)","22 (booked, hong)"
"jokes (gags, laughs)","piper (omen, knightley)","providence (norris, ahl)","cathedral (roman, religious)","april (monthly, average)"
"comedies (comedic, laughs)","casper (dolph, damme)","celestial (interplanetary, bible)","architektur (architectuur, fenster)","sets (principally, precious)"
"hindi (bollywood, india)","norris (chuck, rangers)","mlud (wibbled, 1069)","landscapes (soe, flickrdiamond)","16 (creditor, trillion)"
"war (military, army)","holmes (sherlock, rathbone)","endif (olwm, ciphertext)","stones (mygearandme, flickrsbest)","1st (qtr, pennsylvania)"
"western (outlaw, unforgiven)","rourke (mickey, walken)","gd3004 (35894, intergraph)","wilderness (glacier, peak)","26 (approve, inadequate)"
"romantic (romance, chemistry)","ustinov (warden, cassavetes)","rtfmmitedu (newsanswers, ieee)","nationalpark (hike, peak)","23 (offsetting, weekly)"
"songs (song, tunes)","scooby (doo, garfield)","eng (padres, makefile)","tranquil (serene, peaceful)","prior (recapitalization, payment)"
"sci (science, outer)","doo (scooby, garfield)","pizza (bait, wiretap)","waterfall (butterfly, stream)","avg (shrs, shr)"
"funniest (hilarious, funnier)","heston (charlton, palance)","porsche (nanao, mercedes)","geology (mineral, formations)","june (july, venice)"
"noir (noirs, bogart)","homer (pacino, macy)","gebcadredslpittedu (n3jxp, skepticism)","serene (tranquil, peaceful)","march (31, day)"
"documentary (documentaries, footage)","welles (orson, kane)","scsi2 (scsi, cooling)","cliff (cliffs, rocky)","regular (diesel, petrol)"
"animation (animated, animators)","frost (snowman, damme)","playback (quicktime, xmotif)","naturesfinest (goose, ilovenature)","4th (qtr, fourth)"
"adults (adult, children)","streisand (bridget, salman)","35894 (gd3004, medin)","foliage (branch, blossom)","27 (chemlawn, theyre)"
"creepy (spooky, scary)","davies (rhys, marion)","diesel (volvo, shotguns)","dome (mosaic, column)","14 (borrowing, borrowings)"
"gay (gays, homosexuality)","cinderella (fairy, stepmother)","evolutionary (shifting, hulk)","baroque (neoclassical, renaissance)","11 (chapter, ranged)"
"workout (intermediate, instruction)","boll (uwe, belushi)","techniciandr (obp, 144k)","concert (guitar, performance)","may (probably, however)"
"thriller (thrillers, suspense)","rochester (eyre, dalton)","8177 (obp, 144k)","waves (500d, diamondclassphotographer)","38 (33, strong)"
"funnier (laughs, funniest)","edie (soprano, vertigo)","shaw (medicine, ottoman)","cliffs (cliff, rocky)","m1 (m2, m3)"
"suspense (suspenseful, thrillers)","scarecrow (zombies, reese)","scorer (gilmour, lindros)","plaza (centro, streets)","dlr (writedown, debt)"
"arts (hong, chan)","kramer (streep, meryl)","xwd (xloadimage, openwindows)","flora (theunforgettablepictures, blueribbonwinner)","five (years, jones)"
"christianity (religious, religion)","marty (amitabh, goldie)","ee (275, xloadimage)","rocky (rugged, overlook)","bushels (soybeans, ccc)"
"musical (singing, sing)","columbo (falk, garfield)","com2 (com1, v32bis)","calm (serene, peaceful)","revs (net, 3for2)"
"gore (gory, blood)","kidman (nicole, jude)","examiner (corpses, brass)","branches (vivid, bushes)","29 (175, include)"
"animated (animation, cartoon)","juliet (romeo, troma)","migraine (ama, placebo)","mygearandme (platinumphoto, blueribbonwinner)","acquisition (make, usairs)"
"gags (jokes, slapstick)","garland (judy, lily)","parliament (parliamentary, armored)","stadt (ciudad, capitale)","payable (div, close)"
"sexual (sexually, sexuality)","hawn (goldie, matthau)","manhattan (bobbeviceicotekcom, beauchaine)","fauna (mammal, insect)","13 (dlrsbbl, groups)"
