Newsgroups,Positives,OpenCYC,Positives,Foursquare,Positives,Geonames,Positives,Genres,Positives,Ratings,Positives
alt.atheism,799,aqueduct,67,ArtsAndEntertainment,39,StreamLake,74,Action,2105,USA-G,1974
comp.graphics,973,border,556,CollegeAndUniversity,33,ParksArea,28,Adventure,1451,UK-12-12A,1566
comp.os.ms-windows.misc,985,building,91,Food,82,RoadRailroad,16,Animation,396,UK-15,3957
comp.sys.ibm.pc.hardware,982,dam,389,ProfessionalAndOtherPlaces,47,SpotBuildingFarm,176,Biography,627,UK-18,2009
comp.sys.mac.hardware,963,facility,173,NightlifeSpot,17,MountainHillRock,68,Comedy,4566,UK-PG,1724
comp.windows.x,988,foreground,43,ParksAndOutdoors,44,Undersea,27,Crime,2073,USA-PG-PG13,439
misc.forsale,975,historical_site,297,ShopsAndService,88,ForestHeath,14,Documentary,781,USA-R,5170
rec.autos,990,holy_site,44,TravelAndTransport,35,,,Drama,7269,,
rec.motorcycles,996,landmark,96,Residence,6,,,Family,873,,
rec.sport.baseball,994,medical_facility,28,,,,,Fantasy,928,,
rec.sport.hockey,999,medical_school,49,,,,,Film-Noir,170,,
sci.crypt,991,military_place,30,,,,,History,502,,
sci.electronics,984,monsoon_forest,53,,,,,Horror,1963,,
sci.med,990,national_monument,145,,,,,Music,1051,,
sci.space,987,outdoor_location,103,,,,,Musical,529,,
soc.religion.christian,997,rock_formation,184,,,,,Mystery,1128,,
talk.politics.guns,910,room,60,,,,,Romance,2965,,
talk.politics.mideast,940,,,,,,,Sci-Fi,1266,,
talk.politics.misc,775,,,,,,,Short,560,,
talk.religion.misc,628,,,,,,,Sport,385,,
,,,,,,,,Thriller,3293,,
,,,,,,,,War,671,,
,,,,,,,,Western,454,,
Keywords (1),Positives,Keywords (2),,Keywords (3),,Keywords (4),,Keywords (5),,Reuters,Positives
adultery,853,dancing,1655,funeral,802,money,887,shot-to-death,976,trade,466
bar,1334,death,2596,gore,820,mother-daughter-relationship,1477,singer,1278,grain,580
bare-breasts,1360,doctor,1193,gun,1445,mother-son-relationship,1908,singing,1372,nat-gas,105
bare-chested-male,1360,dog,1605,gunfight,776,murder,3496,song,986,crude,568
based-on-novel,2390,drink,1080,helicopter,864,new-york-city,1464,suicide,1092,sugar,162
beach,881,drinking,1246,hero,789,nudity,1887,surprise-ending,1202,corn,237
beating,1011,drunkenness,1291,horse,825,one-word-title,1357,tears,892,veg-oil,124
betrayal,848,escape,789,hospital,1434,party,1131,telephone-call,1187,ship,280
blood,2384,explosion,1283,hotel,902,photograph,1304,title-spoken-by-character,1725,coffee,139
boy,824,face-slap,907,husband-wife-relationship,2392,pistol,1378,topless-female-nudity,1079,wheat,283
boyfriend-girlfriend-relationship,1093,falling-from-height,875,independent-film,3431,police,1801,train,1069,gold,120
brother-brother-relationship,884,family-relationships,1787,infidelity,862,policeman,792,underwear,860,acq,2363
brother-sister-relationship,1025,father-daughter-relationship,1758,jealousy,928,pregnancy,821,violence,2231,interest,457
character-name-in-title,2146,father-son-relationship,2201,kidnapping,863,punched-in-the-face,870,voice-over-narration,1058,money-fx,676
chase,1351,female-nudity,2328,kiss,1759,rain,1053,watching-tv,887,soybean,111
church,897,fight,1356,knife,1097,restaurant,1202,wedding,800,oilseed,171
cigarette-smoking,1858,fire,1027,love,2164,revenge,1336,,,earn,3951
corpse,1008,fistfight,977,machine-gun,878,sequel,801,,,bop,104
crying,1149,flashback,1937,male-nudity,1122,sex,2126,,,gnp,136
cult-film,1636,friend,1193,marriage,1407,shootout,1174,,,dlr,162
dancer,1020,friendship,1903,martial-arts,824,shot-in-the-chest,892,,,money-supply,168
